full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
Sicepat ke sumatera emang lama euy kemaren gw hampir semingguan,ke sumatera emang lama euy kemaren gw hampir semingguan,to sumatra it was a long time ago i was almost a week,sumatra long time ago almost week,"['sumatra', 'long', 'time', 'ago', 'almost', 'week']","['sumatra', 'long', 'time', 'ago', 'almost', 'week']"
Di saya juga lama deh sicepat cepetan spx,Di saya juga lama deh cepetan,in me it's too long to hurry up,long hurry,"['long', 'hurry']","['long', 'hurry']"
Cepet pdhl cmn emg beda watak sicepat wkwwkk ada yang lemot ada yang cepett,Cepet pdhl cmn emg beda watak wkwwkk ada yang lemot ada yang cepett,fast pdhl cmn emg different character wkwwkk there is a slow one,fast pdhl cmn emg different character wkwwkk slow one,"['fast', 'pdhl', 'cmn', 'emg', 'different', 'character', 'wkwwkk', 'slow', 'one']","['fast', 'pdhl', 'cmn', 'emg', 'different', 'character', 'wkwwkk', 'slow', 'one']"
Demi Allah beli kamera gini amat ekspedisi sicepat lu tuh kalau tidak bisa nganter mending tutup saja dah Paket gua criss cross kg sampe bentar Sedang dibutuhin,Demi Allah beli kamera gini amat ekspedisi lu tuh kalau tidak bisa nganter mending tutup saja dah Paket gua criss cross kg sampe bentar Sedang dibutuhin,"by god, buy a camera like this, you can not take your expedition, if you can't, it's better to just close the criss cross kg package until you are being needed for a while",god buy camera like this take expedition cant better close criss cross kg package needed,"['god', 'buy', 'camera', 'like', 'this', 'take', 'expedition', 'cant', 'better', 'close', 'criss', 'cross', 'kg', 'package', 'needed']","['god', 'buy', 'camera', 'like', 'this', 'take', 'expedition', 'cant', 'well', 'close', 'criss', 'cross', 'kg', 'package', 'need']"
buyerku juga gini kemarin padahal jnt sicepat ninja jne reg sama hemat sudah saya aktifin tetapi tetep cuma spx saja yang muncul di dia,buyerku juga gini kemarin padahal ninja reg sama hemat sudah saya aktifin tetapi tetep cuma saja yang muncul di dia,"my buyer is also like this yesterday even though ninja reg is equally saving, i have activated it, but it still appears on him",buyer also like yesterday even though ninja reg equally saving activated it still appears,"['buyer', 'also', 'like', 'yesterday', 'even', 'though', 'ninja', 'reg', 'equally', 'saving', 'activated', 'it', 'still', 'appears']","['buyer', 'also', 'like', 'yesterday', 'even', 'though', 'ninja', 'reg', 'equally', 'save', 'activate', 'it', 'still', 'appear']"
kurir yang selalu ambil kalau req pickup apa ya selain sicepat,kurir yang selalu ambil kalau req pickup apa ya selain,courier who always takes if req pickup what,courier always takes req pickup,"['courier', 'always', 'takes', 'req', 'pickup']","['courier', 'always', 'take', 'req', 'pickup']"
kakak sellernya nerima tidak kak kalau pakai sicepat,kakak sellernya nerima tidak kak kalau pakai,"the seller's sister received it, sis if you use it",sellers sister received it sis use,"['sellers', 'sister', 'received', 'it', 'sis', 'use']","['seller', 'sister', 'receive', 'it', 'si', 'use']"
Anter saja langsung pick up Sicepat langsung pick up Pos indo biasanya kurir yang WA dulu,Anter saja langsung pick up langsung pick up indo biasanya kurir yang WA dulu,just anter directly pick up directly to pick up indo usually the courier is wa first,anter directly pick directly pick indo usually courier wa first,"['anter', 'directly', 'pick', 'directly', 'pick', 'indo', 'usually', 'courier', 'wa', 'first']","['anter', 'directly', 'pick', 'directly', 'pick', 'indo', 'usually', 'courier', 'wa', 'first']"
Sicepat id expres Anteraja kalau bisa hindarin ekxpedisi itu kurir nya sulit,id expres kalau bisa hindarin ekxpedisi itu kurir nya sulit,"id expres if you can avoid expeditions, the courier is difficult",id expres avoid expeditions courier difficult,"['id', 'expres', 'avoid', 'expeditions', 'courier', 'difficult']","['id', 'expres', 'avoid', 'expedition', 'courier', 'difficult']"
akuu kalau ganti hemat cuma ada spx hemat sama sicepat halu kalau tidak salah,akuu kalau ganti hemat cuma ada hemat sama halu kalau tidak salah,"i just change it, there's only saving and saving the same, if i'm not mistaken",change it theres saving saving same im mistaken,"['change', 'it', 'theres', 'saving', 'saving', 'same', 'im', 'mistaken']","['change', 'it', 'there', 'save', 'save', 'same', 'im', 'mistaken']"
EH SICEPAT INI GIMANA DAH INI PAKET COD WOI kalau ke retur bagaimana Ya Allah gw jualan buat bayar tagihan mlh kaga bisa,EH INI GIMANA DAH INI PAKET COD WOI kalau ke retur bagaimana Ya Allah gw jualan buat bayar tagihan mlh kaga bisa,"eh this is this, this is a cod woi package if you go to return, how do i sell it to pay for a mlh bill, you can",eh this cod woi package go return sell pay mlh bill,"['eh', 'this', 'cod', 'woi', 'package', 'go', 'return', 'sell', 'pay', 'mlh', 'bill']","['eh', 'this', 'cod', 'woi', 'package', 'go', 'return', 'sell', 'pay', 'mlh', 'bill']"
Min ini saya mau drop paket di cileunyi bisa dimana ya Request pick up gaada yang datang,Min ini saya mau drop paket di cileunyi bisa dimana ya Request pick up gaada yang datang,"min, i want to drop the package in cileunyi, where can you request a pick up pick up that comes",min want drop package cileunyi request pick pick comes,"['min', 'want', 'drop', 'package', 'cileunyi', 'request', 'pick', 'pick', 'comes']","['min', 'want', 'drop', 'package', 'cileunyi', 'request', 'pick', 'pick', 'come']"
Jnesicepat gpp kak dapat kahh km,Jnesicepat gpp kak dapat kahh km,"jnesicaspas gpp sis, can you get it",jnesicaspas gpp sis get,"['jnesicaspas', 'gpp', 'sis', 'get']","['jnesicaspas', 'gpp', 'si', 'get']"
sicepatjne express bisa nder kirim pagi sampe paling lama malem,sicepatjne express bisa nder kirim pagi sampe paling lama malem,sicepat jne express can send it in the morning until the longest night,sicepat jne express send morning longest night,"['sicepat', 'jne', 'express', 'send', 'morning', 'longest', 'night']","['sicepat', 'jne', 'express', 'send', 'morning', 'long', 'night']"
ESUMPAH YA SICEPAT itu buyer gua orang penting anjrrr Dia orang pemerintahan NTT DAN LU NGIRIM PAKETNYA TELAT KE DIA SAMPE SKRG BLM JUGA Demi Allah malu dah gua,ESUMPAH YA itu buyer gua orang penting anjrrr Dia orang pemerintahan NTT DAN LU NGIRIM PAKETNYA TELAT KE DIA SAMPE SKRG BLM JUGA Demi Allah malu dah gua,espect yes buyer cure important people ajrr he a ntt government and lu send the package to him to skrg not sempah also short,espect yes buyer cure important people ajrr ntt government lu send package skrg sempah also short,"['espect', 'yes', 'buyer', 'cure', 'important', 'people', 'ajrr', 'ntt', 'government', 'lu', 'send', 'package', 'skrg', 'sempah', 'also', 'short']","['espect', 'yes', 'buyer', 'cure', 'important', 'people', 'ajrr', 'ntt', 'government', 'lu', 'send', 'package', 'skrg', 'sempah', 'also', 'short']"
Sicepat saja gpp kak,saja gpp kak,just gpp sis,gpp sis,"['gpp', 'sis']","['gpp', 'si']"
Min paimin paket ku tidak gerak seharian lebih,Min paimin paket ku tidak gerak seharian lebih,"min paimin, my package doesn't move all day",min paimin package move day,"['min', 'paimin', 'package', 'move', 'day']","['min', 'paimin', 'package', 'move', 'day']"
Klo gd jnesicepat tidak apa apa,Klo gd jnesicepat tidak apa apa,if not jne sicepat is okay,jne sicepat okay,"['jne', 'sicepat', 'okay']","['jne', 'sicepat', 'okay']"
SICEPAT INI GAJELAS BGT ANJGG AWAS AJA LU PAKET GW ILANG LAGI,INI GAJELAS BGT ANJGG AWAS AJA LU PAKET GW ILANG LAGI,"this is very clear, just watch out for me, my package is missing again",clear watch me package missing,"['clear', 'watch', 'me', 'package', 'missing']","['clear', 'watch', 'me', 'package', 'miss']"
yang co pakai sicepat saya kirim besok drop pointnya gaada orang,yang co pakai saya kirim besok drop pointnya gaada orang,the coo use me to send it tomorrow the drop point is no one,coo use send tomorrow drop point one,"['coo', 'use', 'send', 'tomorrow', 'drop', 'point', 'one']","['coo', 'use', 'send', 'tomorrow', 'drop', 'point', 'one']"
kayanya dia kerja di ekspedisi macam jnt atau sicepat deh kak cb iseng survey,kayanya dia kerja di ekspedisi macam atau deh kak cb iseng survey,i think he works in an expedition like or deh cb for a survey,think works expedition like deh cb survey,"['think', 'works', 'expedition', 'like', 'deh', 'cb', 'survey']","['think', 'work', 'expedition', 'like', 'deh', 'cb', 'survey']"
Klo untuk jasa krimnya itu kt gbisa tahu smpe kt cekout Krn yang tahu cm seller Seller yang bisa aktifin di reguler mau pk ekspedisi apa saja di hemat mau pakai ekspedisi apa saja Baik di regulerhemat sama ada ada jnt spx sicepat dll tetapi seller bisa pilih mau aktifin apa saja,Klo untuk jasa krimnya itu kt gbisa tahu smpe kt cekout Krn yang tahu cm seller Seller yang bisa aktifin di reguler mau pk ekspedisi apa saja di hemat mau pakai ekspedisi apa saja Baik di regulerhemat sama ada ada dll tetapi seller bisa pilih mau aktifin apa saja,"if for the cream service, we don't know, you know, check out because you know the cm seller who can activate in the regular, you want any expedition to be saved, you want to use any expedition, both in the same regularhm",cream service know know check know cm seller activate regular want expedition saved want use expedition regularhm,"['cream', 'service', 'know', 'know', 'check', 'know', 'cm', 'seller', 'activate', 'regular', 'want', 'expedition', 'saved', 'want', 'use', 'expedition', 'regularhm']","['cream', 'service', 'know', 'know', 'check', 'know', 'cm', 'seller', 'activate', 'regular', 'want', 'expedition', 'save', 'want', 'use', 'expedition', 'regularhm']"
Mana abang sicepat,Mana abang,where is your brother,brother,['brother'],['brother']
Sicepat tidak seperti nama nya,tidak seperti nama nya,unlike the name,unlike name,"['unlike', 'name']","['unlike', 'name']"
hsjs iyaa maksud saya dari    regular amp hemat itu cara tahu jntsicepatspx nya bagaimana,hsjs iyaa maksud saya dari regular amp hemat itu cara tahu jntsicepatspx nya bagaimana,"hsjs yeah i mean from regular amp saving, how to know how to do",hsjs yeah mean regular amp saving know,"['hsjs', 'yeah', 'mean', 'regular', 'amp', 'saving', 'know']","['hsjs', 'yeah', 'mean', 'regular', 'amp', 'save', 'know']"
sicepat itu kalau seinget ku gaada drop point di nangor adanya di cinunuk,itu kalau seinget ku gaada drop point di nangor adanya di cinunuk,that is if i don't have a drop point in nangor in cinunuk,drop point nangor cinunuk,"['drop', 'point', 'nangor', 'cinunuk']","['drop', 'point', 'nangor', 'cinunuk']"
ada yang punya kontak sicepat kurirnya yang dkt dari    nangor tidak pad,ada yang punya kontak kurirnya yang dkt dari nangor tidak pad,anyone has a courier contact close to nangor not pad,anyone courier contact close nangor pad,"['anyone', 'courier', 'contact', 'close', 'nangor', 'pad']","['anyone', 'courier', 'contact', 'close', 'nangor', 'pad']"
mau wonbin nya saja kirim pakai sicepat,mau wonbin nya saja kirim pakai,wonbin just send it using it,wonbin send using,"['wonbin', 'send', 'using']","['wonbin', 'send', 'use']"
woi kirim paket saya ke rumah Ngapain disimpen di cakung hari Ilang Keselip Apa Yang bilang nggak ada pertanyaan siapa Itu saja lu nggak jawab Main mengakhiri percakapan saja,woi kirim paket saya ke rumah Ngapain disimpen di cakung hari Ilang Keselip Apa Yang bilang nggak ada pertanyaan siapa Itu saja lu nggak jawab Main mengakhiri percakapan saja,"woi, send my package to the house, why are you stored in cakung hari, the slippage of what says there is no question who is just you don't answer to ending the conversation",woi send package house stored cakung hari slippage says question answer ending conversation,"['woi', 'send', 'package', 'house', 'stored', 'cakung', 'hari', 'slippage', 'says', 'question', 'answer', 'ending', 'conversation']","['woi', 'send', 'package', 'house', 'store', 'cakung', 'hari', 'slippage', 'say', 'question', 'answer', 'end', 'conversation']"
eh saya bingung deh bedanya hematregular apa soalnya saya co di etalase a pilih regular tu jntsicepat di etalase lain pilih regular spx bagaimana bedainnya jadi tidak enak saya cancel pesanan karena salah pilih opsi,eh saya bingung deh bedanya hematregular apa soalnya saya co di etalase a pilih regular tu jntsicepat di etalase lain pilih regular bagaimana bedainnya jadi tidak enak saya cancel pesanan karena salah pilih opsi,"eh, i'm confused, the difference between hematregular is the problem because i am in a storefront, selecting regular tu jntsicepas in another storefront, select regular",eh im confused difference hematregular problem storefront selecting regular tu jntsicepas another storefront select regular,"['eh', 'im', 'confused', 'difference', 'hematregular', 'problem', 'storefront', 'selecting', 'regular', 'tu', 'jntsicepas', 'another', 'storefront', 'select', 'regular']","['eh', 'im', 'confuse', 'difference', 'hematregular', 'problem', 'storefront', 'select', 'regular', 'tu', 'jntsicepas', 'another', 'storefront', 'select', 'regular']"
hii guys freebiesnya saya drop link disini Bisa dibuka jam yaa tolong dibaca dulu rulesnya ekspedisi ubah ke sicepatantarajajnt express jangan lupa tulis usn sangat di notes wajib GOODLUCK ALL,hii guys freebiesnya saya drop link disini Bisa dibuka jam yaa tolong dibaca dulu rulesnya ekspedisi ubah ke sicepatantarajajnt express jangan lupa tulis usn sangat di notes wajib GOODLUCK ALL,"hii guys freebies, i drop the link here, you can open the clock, please read the rules, change the expedition to sicepatantarajnt express, don't forget to write usn very much in the notes, it must be goodluck all",hii guys freebies drop link here open clock please read rules change expedition sicepatantarajnt express forget write usn much notes must goodluck,"['hii', 'guys', 'freebies', 'drop', 'link', 'here', 'open', 'clock', 'please', 'read', 'rules', 'change', 'expedition', 'sicepatantarajnt', 'express', 'forget', 'write', 'usn', 'much', 'notes', 'must', 'goodluck']","['hii', 'guy', 'freebie', 'drop', 'link', 'here', 'open', 'clock', 'please', 'read', 'rule', 'change', 'expedition', 'sicepatantarajnt', 'express', 'forget', 'write', 'usn', 'much', 'note', 'must', 'goodluck']"
sbt kalau kirim pakai lewat sicepat resinya ditulis saja atau harus dicetak ya terima kasih,sbt kalau kirim pakai lewat resinya ditulis saja atau harus dicetak ya terima kasih,"sbt if you send it through it, it is written or must be printed, thank you",sbt send it written must printed thank,"['sbt', 'send', 'it', 'written', 'must', 'printed', 'thank']","['sbt', 'send', 'it', 'write', 'must', 'print', 'thank']"
urang make na sicepat sih,urang make na sih,urang make na anyway,urang make na anyway,"['urang', 'make', 'na', 'anyway']","['urang', 'make', 'na', 'anyway']"
Hari ke di PingPong Parahtrnyata benar yang Orang-orang bilang di JNE bnyk MALING nya Paket yang isinya HP samsung Z Flip di maling sm oknum nya di HariGiniPakeJNE Hatihari untuk smua lebih baik pakai dll,Hari ke di PingPong Parahtrnyata benar yang Orang-orang bilang di bnyk MALING nya Paket yang isinya HP samsung Z Flip di maling sm oknum nya di HariGiniPakeJNE Hatihari untuk smua lebih baik pakai dll,"day to pingpong parahtrikata right that people said that in many thieves the package whose contents are samsung z flip in the thief of his person at the hariginipakejne hatihari for everything it's better to use it, etc.",day pingpong parahtrikata right people said many thieves package whose contents samsung z flip thief person hariginipakejne hatihari everything better use it etc,"['day', 'pingpong', 'parahtrikata', 'right', 'people', 'said', 'many', 'thieves', 'package', 'whose', 'contents', 'samsung', 'z', 'flip', 'thief', 'person', 'hariginipakejne', 'hatihari', 'everything', 'better', 'use', 'it', 'etc']","['day', 'pingpong', 'parahtrikata', 'right', 'people', 'say', 'many', 'thief', 'package', 'whose', 'content', 'samsung', 'z', 'flip', 'thief', 'person', 'hariginipakejne', 'hatihari', 'everything', 'well', 'use', 'it', 'etc']"
please lah kerja sudah mau hari gini dua paket saya masih stcuk saja Udh protes ke di instagram dan mau dicek terus katanya Ngapain sih msih dijadiin kurir rekomendasi pdhl sudah banyak yang protes sudah bagus pakai sicepat dan anteraja,please lah kerja sudah mau hari gini dua paket saya masih stcuk saja Udh protes ke di instagram dan mau dicek terus katanya Ngapain sih msih dijadiin kurir rekomendasi pdhl sudah banyak yang protes sudah bagus pakai dan,"please work, i want to do this, two packages, i still protested on instagram and want to be checked, he said what to do, there were many recommendations for pdhl recommendations.",please work want this two packages still protested instagram want checked said do many recommendations pdhl recommendations,"['please', 'work', 'want', 'this', 'two', 'packages', 'still', 'protested', 'instagram', 'want', 'checked', 'said', 'do', 'many', 'recommendations', 'pdhl', 'recommendations']","['please', 'work', 'want', 'this', 'two', 'package', 'still', 'protest', 'instagram', 'want', 'checked', 'say', 'do', 'many', 'recommendation', 'pdhl', 'recommendation']"
tokopedia kalau kata gua sih mending kurir rekomendasi gausahlah pakai idexpress Udh bagus dapat sicepatjnt ini malah kenapa jadi diganti Barang gw sudah hari masih ada di cabang gaada update sama sekali,tokopedia kalau kata gua sih mending kurir rekomendasi gausahlah pakai idexpress Udh bagus dapat sicepatjnt ini malah kenapa jadi diganti Barang gw sudah hari masih ada di cabang gaada update sama sekali,"tokopedia, if my word is better, the courier is not bothering to use the idexpress, it's good to get this sicepatjnt, but why is it changed the goods i have been in the branch no update at all",tokopedia word better courier bothering use idexpress good get sicepatjnt changed goods branch update,"['tokopedia', 'word', 'better', 'courier', 'bothering', 'use', 'idexpress', 'good', 'get', 'sicepatjnt', 'changed', 'goods', 'branch', 'update']","['tokopedia', 'word', 'well', 'courier', 'bother', 'use', 'idexpress', 'good', 'get', 'sicepatjnt', 'change', 'good', 'branch', 'update']"
JNT gila ya masa iya Blitar Medan sama dengan Blitar Sby nya sicepatspx,gila ya masa iya Blitar Medan sama dengan Blitar Sby nya sicepatspx,"crazy yes, yes, blitar medan is the same as sby's blitar sicepatspx",crazy yes yes blitar medan sbys blitar sicepatspx,"['crazy', 'yes', 'yes', 'blitar', 'medan', 'sbys', 'blitar', 'sicepatspx']","['crazy', 'yes', 'yes', 'blitar', 'medan', 'sbys', 'blitar', 'sicepatspx']"
enaknyaaa ini saya mesan barang alamatnya beda pakai sicepat dari tanggal kemarin masih stuck di sortir bahkan ada yang satu daerah sama seller nya juga masih di sortir,enaknyaaa ini saya mesan barang alamatnya beda pakai dari tanggal kemarin masih stuck di sortir bahkan ada yang satu daerah sama seller nya juga masih di sortir,"this is delicious, i ordered the item, the address is different from yesterday, still stuck in sort, and there is even one region and the seller is still sorting",delicious ordered item address different yesterday still stuck sort even one region seller still sorting,"['delicious', 'ordered', 'item', 'address', 'different', 'yesterday', 'still', 'stuck', 'sort', 'even', 'one', 'region', 'seller', 'still', 'sorting']","['delicious', 'order', 'item', 'address', 'different', 'yesterday', 'still', 'stuck', 'sort', 'even', 'one', 'region', 'seller', 'still', 'sort']"
Spx sama sicepat mending yang mana ya guys Cepetan yang mana,sama mending yang mana ya guys Cepetan yang mana,the same better which guys hurry up which one,better guys hurry one,"['better', 'guys', 'hurry', 'one']","['well', 'guy', 'hurry', 'one']"
Eh kalau saya sicepat malah benar benar seperti namanya Kadang kalau sampe tempat sortir daerahku sore tetep dianter hari itu juga tidak besoknya,Eh kalau saya malah benar benar seperti namanya Kadang kalau sampe tempat sortir daerahku sore tetep dianter hari itu juga tidak besoknya,"eh, if i am really like the name sometimes when it comes to the sort of my regional sorting, the afternoon is not delivered that day.",eh really like name sometimes comes sort regional sorting afternoon delivered day,"['eh', 'really', 'like', 'name', 'sometimes', 'comes', 'sort', 'regional', 'sorting', 'afternoon', 'delivered', 'day']","['eh', 'really', 'like', 'name', 'sometimes', 'come', 'sort', 'regional', 'sort', 'afternoon', 'deliver', 'day']"
bjir benar sangat sekarang saya sudah gamake sicepat dulu mah cpt bgtt sekarang spx yang cpt di saya,bjir benar sangat sekarang saya sudah gamake dulu mah cpt bgtt sekarang yang cpt di saya,"bjir is really very, now i have gamake first, cpt, now",bjir really very gamake first cpt,"['bjir', 'really', 'very', 'gamake', 'first', 'cpt']","['bjir', 'really', 'very', 'gamake', 'first', 'cpt']"
hii guys freebies disini TNC freebiesnya random ya barusan beberapa ada yang saya cek dan ternyata rusak dari produksi jadi saya kurangin gabisa milih member ya ekspedisi ubah ke sicepatantar saja tidak refund saya upload link ya mau nunggu kalian baca dulu,hii guys freebies disini TNC freebiesnya random ya barusan beberapa ada yang saya cek dan ternyata rusak dari produksi jadi saya kurangin gabisa milih member ya ekspedisi ubah ke sicepatantar saja tidak refund saya upload link ya mau nunggu kalian baca dulu,"hii guys freebies here tnc freebies random yes just a few that i checked and turned out to be damaged from production so i could reduce the member, yes, the expedition changed to sicepat, i didn't refund, i uploaded the link, yes, i want to wait for you to read it first",hii guys freebies tnc freebies random yes checked turned damaged production could reduce member yes expedition changed sicepat refund uploaded link yes want wait read first,"['hii', 'guys', 'freebies', 'tnc', 'freebies', 'random', 'yes', 'checked', 'turned', 'damaged', 'production', 'could', 'reduce', 'member', 'yes', 'expedition', 'changed', 'sicepat', 'refund', 'uploaded', 'link', 'yes', 'want', 'wait', 'read', 'first']","['hii', 'guy', 'freebie', 'tnc', 'freebie', 'random', 'yes', 'checked', 'turn', 'damage', 'production', 'could', 'reduce', 'member', 'yes', 'expedition', 'change', 'sicepat', 'refund', 'uploaded', 'link', 'yes', 'want', 'wait', 'read', 'first']"
nama doang sicepat,nama doang,name,name,['name'],['name']
Wkwk keknya emang tergantung wilayah deh di tempat saya malah pakai sicepat cepet banget nyampe nya,Wkwk keknya emang tergantung wilayah deh di tempat saya malah pakai cepet banget nyampe nya,wkwk the keknya it really depends on the area where i even use it so fast,wkwk keknya really depends area even use fast,"['wkwk', 'keknya', 'really', 'depends', 'area', 'even', 'use', 'fast']","['wkwk', 'keknya', 'really', 'depends', 'area', 'even', 'use', 'fast']"
ini paling malas kalau pakai sicepat lamaa bangettt paket saya dah ngestuck di sortir mulu hadeh,ini paling malas kalau pakai lamaa bangettt paket saya dah ngestuck di sortir mulu hadeh,"this is the most lazy if you use it for a long time, my package has been ngestuck in sorting mulu hadeh",lazy use long time package ngestuck sorting mulu hadeh,"['lazy', 'use', 'long', 'time', 'package', 'ngestuck', 'sorting', 'mulu', 'hadeh']","['lazy', 'use', 'long', 'time', 'package', 'ngestuck', 'sort', 'mulu', 'hadeh']"
Ninja express kediri ke malang bisa hari surabaya malang perjalanan jam lebih ini supir mabok apa masuk gigi ngegasnya tidak sampe jam heh lain kali sediain LEX saja atau jnt sicepat jangan yang lain jne minggu tidak kirimlibur,Ninja express kediri ke malang bisa hari surabaya malang perjalanan jam lebih ini supir mabok apa masuk gigi ngegasnya tidak sampe jam heh lain kali sediain LEX saja atau jangan yang lain minggu tidak kirimlibur,"ninja express kediri to malang can be malang, the mabok driver is mabok, or not until the time is not until the time, heh, the lex is just or not the other week, not sending it",ninja express kediri malang malang mabok driver mabok time time heh lex week sending,"['ninja', 'express', 'kediri', 'malang', 'malang', 'mabok', 'driver', 'mabok', 'time', 'time', 'heh', 'lex', 'week', 'sending']","['ninja', 'express', 'kediri', 'malang', 'malang', 'mabok', 'driver', 'mabok', 'time', 'time', 'heh', 'lex', 'week', 'send']"
ini paket sicepat best tuh nyampe nya bukan next day ya tetapi next year csnya tidak jelas pula mau di telepon mau di wa sama saja,ini paket best tuh nyampe nya bukan next day ya tetapi next year csnya tidak jelas pula mau di telepon mau di wa sama saja,"this is the best package, it's not next day, but next year, the cs is not clear, you want to call it on the same",best package next day next year cs clear want call,"['best', 'package', 'next', 'day', 'next', 'year', 'cs', 'clear', 'want', 'call']","['best', 'package', 'next', 'day', 'next', 'year', 'c', 'clear', 'want', 'call']"
Ya allah shopee kenapa si Event kmrn pada bisa pakai jnt sekarang gabisa harus kirim pakai sicepat dari bantul ke sleman,Ya allah shopee kenapa si Event kmrn pada bisa pakai sekarang gabisa harus kirim pakai dari bantul ke sleman,"o allah shopee why the event can be used now, i can't send it from bantul to sleman",allah shopee event used now cant send bantul sleman,"['allah', 'shopee', 'event', 'used', 'now', 'cant', 'send', 'bantul', 'sleman']","['allah', 'shopee', 'event', 'use', 'now', 'cant', 'send', 'bantul', 'sleman']"
Gabakal pakai sicepat Sedang,Gabakal pakai Sedang,gabakal is medium,gabakal medium,"['gabakal', 'medium']","['gabakal', 'medium']"
Bener kata saya si cepat halu emang cepet nya cuma halusinasi Gue check out dari tanggal mei jam pagi langsung di serahkan ke si cepat sama seller nya Pikir saya itu barang mau saya buat kado tanggal Mei Tapi terima kasih lo belum dateng sampe sekarang,Bener kata saya si cepat halu emang cepet nya cuma halusinasi Gue check out dari tanggal mei jam pagi langsung di serahkan ke si cepat sama seller nya Pikir saya itu barang mau saya buat kado tanggal Mei Tapi terima kasih lo belum dateng sampe sekarang,"really, i said, the fast halu was just fast hallucinations, i checked out from may the morning at the morning, immediately handed over to the seller, i thought it was an item, i wanted to make a gift on the may but thank you for not coming until now",really said fast halu fast hallucinations checked may morning morning immediately handed seller thought item wanted make gift may thank coming,"['really', 'said', 'fast', 'halu', 'fast', 'hallucinations', 'checked', 'may', 'morning', 'morning', 'immediately', 'handed', 'seller', 'thought', 'item', 'wanted', 'make', 'gift', 'may', 'thank', 'coming']","['really', 'say', 'fast', 'halu', 'fast', 'hallucination', 'checked', 'may', 'morning', 'morning', 'immediately', 'hand', 'seller', 'thought', 'item', 'want', 'make', 'gift', 'may', 'thank', 'come']"
resi ini kok Tidak gerak sih Pdhl butuhhh bangettttt dipake barangnya Cm dari    si cepat doang yang kaga sampe Jntampshopee express sudah kepada  sampe semua pdhl co dihari yang sama,resi ini kok Tidak gerak sih Pdhl butuhhh bangettttt dipake barangnya Cm dari si cepat doang yang kaga sampe Jntampshopee express sudah kepada sampe semua pdhl co dihari yang sama,"how come this receipt doesn't move anyway pdhl is really necessary to use the item from the fast, the one who does not until the jntampshopee express has been to all the pdhl co on the same day",come receipt move anyway pdhl really necessary use item fast one jntampshopee express pdhl co day,"['come', 'receipt', 'move', 'anyway', 'pdhl', 'really', 'necessary', 'use', 'item', 'fast', 'one', 'jntampshopee', 'express', 'pdhl', 'co', 'day']","['come', 'receipt', 'move', 'anyway', 'pdhl', 'really', 'necessary', 'use', 'item', 'fast', 'one', 'jntampshopee', 'express', 'pdhl', 'co', 'day']"
Mesti banyak istighfar kalau dapet ekspedisi sicepat,Mesti banyak istighfar kalau dapet ekspedisi,must be a lot of istighfar if you get an expedition,must lot istighfar get expedition,"['must', 'lot', 'istighfar', 'get', 'expedition']","['must', 'lot', 'istighfar', 'get', 'expedition']"
buset dah sicepat paket gua sudah lewat hari dari perpanjangan masa kirim ini kurirnya pada kena problem apaan yak,buset dah paket gua sudah lewat hari dari perpanjangan masa kirim ini kurirnya pada kena problem apaan yak,the packet of my package has passed the day from the extension of the sending period.,packet package passed day extension sending period,"['packet', 'package', 'passed', 'day', 'extension', 'sending', 'period']","['packet', 'package', 'pass', 'day', 'extension', 'send', 'period']"
Udh admin dsrh nunggu terus Pdhl saya sebagai seller butuh uangnya cepet loh tetapi malah melewati estimasi Sakit hati,Udh admin dsrh nunggu terus Pdhl saya sebagai seller butuh uangnya cepet loh tetapi malah melewati estimasi Sakit hati,"the admin has been waiting for me as a seller as a seller, i need the money to be fast but instead goes through an estimated hurt",admin waiting seller seller need money fast instead goes estimated hurt,"['admin', 'waiting', 'seller', 'seller', 'need', 'money', 'fast', 'instead', 'goes', 'estimated', 'hurt']","['admin', 'wait', 'seller', 'seller', 'need', 'money', 'fast', 'instead', 'go', 'estimate', 'hurt']"
,,"the json object must be str, bytes or bytearray, not nonetype",json object must str bytes bytearray nonetype,"['json', 'object', 'must', 'str', 'bytes', 'bytearray', 'nonetype']","['json', 'object', 'must', 'str', 'byte', 'bytearray', 'nonetype']"
ANJING AMEH BANGWT PADAHAL UDH GW UBAH KE SICEPAT KENAPA MALAH JD JNE DAH ANYING,ANJING AMEH BANGWT PADAHAL UDH GW UBAH KE KENAPA MALAH JD DAH ANYING,"ameh dogs, even though i have changed it to why i was so anying",ameh dogs even though changed anying,"['ameh', 'dogs', 'even', 'though', 'changed', 'anying']","['ameh', 'dog', 'even', 'though', 'change', 'anying']"
Ges mending sicepat halu ato spx hemat,Ges mending halu ato hemat,ges mending halu or economical,ges mending halu economical,"['ges', 'mending', 'halu', 'economical']","['ge', 'mend', 'halu', 'economical']"
ini mendingan id express tahu sicepat belum pernah dapet kurir dari ekspedisi ini mana liat review di twitter jelek banget lagi,ini mendingan id express tahu belum pernah dapet kurir dari ekspedisi ini mana liat review di twitter jelek banget lagi,"this is better to have express id, i have never got a courier from this expedition where to see the review on twitter, it's really bad",better express id never got courier expedition see review twitter really bad,"['better', 'express', 'id', 'never', 'got', 'courier', 'expedition', 'see', 'review', 'twitter', 'really', 'bad']","['well', 'express', 'id', 'never', 'get', 'courier', 'expedition', 'see', 'review', 'twitter', 'really', 'bad']"
